Region,Season,Dwelling_Type,Average_Temp_C,Split_AC_hours_per_week,Radiant_Heater_hours_per_week,Water_Heater_hours_per_week,Insulation_Yes_Pct,Cooking_Gas_Pct,Cooking_Elec_Pct
Northern Borders,Rest_of_Year,Apartment,28.3,90.4,0.8,3.0,48.8,86.9,13.1
Jazan,Winter,Villa,26.8,56.2,32.4,76.3,37.6,95.2,4.8
Jazan,Winter,Floor in Villa,26.8,56.2,32.4,76.3,37.6,100.0,0.0
Jazan,Winter,Traditional House,26.8,56.2,32.4,76.3,37.6,99.4,0.6
Jazan,Winter,Floor in Traditional,26.8,56.2,32.4,76.3,37.6,100.0,0.0
Jazan,Winter,Apartment,26.8,56.2,32.4,76.3,37.6,98.2,1.8
Jazan,Rest_of_Year,Villa,31.4,81.0,0.5,8.8,37.6,95.2,4.8
Jazan,Rest_of_Year,Floor in Villa,31.4,81.0,0.5,8.8,37.6,100.0,0.0
Jazan,Rest_of_Year,Traditional House,31.4,81.0,0.5,8.8,37.6,99.4,0.6
Jazan,Rest_of_Year,Floor in Traditional,31.4,81.0,0.5,8.8,37.6,100.0,0.0
Jazan,Rest_of_Year,Apartment,31.4,81.0,0.5,8.8,37.6,98.2,1.8
Najran,Winter,Villa,19.6,38.4,29.1,98.2,58.9,95.3,4.7
Najran,Winter,Floor in Villa,19.6,38.4,29.1,98.2,58.9,88.5,11.5
Najran,Winter,Traditional House,19.6,38.4,29.1,98.2,58.9,100.0,0.0
Najran,Winter,Floor in Traditional,19.6,38.4,29.1,98.2,58.9,100.0,0.0
Najran,Winter,Apartment,19.6,38.4,29.1,98.2,58.9,98.2,1.8
Najran,Rest_of_Year,Villa,28.0,86.7,4.8,27.2,58.9,95.3,4.7
Najran,Rest_of_Year,Floor in Villa,28.0,86.7,4.8,27.2,58.9,88.5,11.5
Najran,Rest_of_Year,Traditional House,28.0,86.7,4.8,27.2,58.9,100.0,0.0
Najran,Rest_of_Year,Floor in Traditional,28.0,86.7,4.8,27.2,58.9,100.0,0.0
Najran,Rest_of_Year,Apartment,28.0,86.7,4.8,27.2,58.9,98.2,1.8
Al-Baha,Winter,Villa,13.0,25.4,39.3,115.2,40.1,90.7,9.3
Al-Baha,Winter,Floor in Villa,13.0,25.4,39.3,115.2,40.1,96.2,3.8
Al-Baha,Winter,Traditional House,13.0,25.4,39.3,115.2,40.1,95.0,3.3
Al-Baha,Winter,Floor in Traditional,13.0,25.4,39.3,115.2,40.1,100.0,0.0
Al-Baha,Winter,Apartment,13.0,25.4,39.3,115.2,40.1,84.5,15.4
Al-Baha,Rest_of_Year,Villa,20.4,63.0,4.7,72.6,40.1,90.7,9.3
Al-Baha,Rest_of_Year,Floor in Villa,20.4,63.0,4.7,72.6,40.1,96.2,3.8
Al-Baha,Rest_of_Year,Traditional House,20.4,63.0,4.7,72.6,40.1,95.0,3.3
Al-Baha,Rest_of_Year,Floor in Traditional,20.4,63.0,4.7,72.6,40.1,100.0,0.0
Al-Baha,Rest_of_Year,Apartment,20.4,63.0,4.7,72.6,40.1,84.5,15.4
Al-Jouf,Winter,Villa,13.0,22.4,45.2,111.5,35.7,95.8,4.2
Al-Jouf,Winter,Floor in Villa,13.0,22.4,45.2,111.5,35.7,95.2,4.8
Al-Jouf,Winter,Traditional House,13.0,22.4,45.2,111.5,35.7,90.9,9.1
Al-Jouf,Winter,Floor in Traditional,13.0,22.4,45.2,111.5,35.7,95.6,4.4
Al-Jouf,Winter,Apartment,13.0,22.4,45.2,111.5,35.7,95.6,4.4
Al-Jouf,Rest_of_Year,Villa,28.9,64.1,4.7,13.8,35.7,95.8,4.2
Al-Jouf,Rest_of_Year,Floor in Villa,28.9,64.1,4.7,13.8,35.7,95.2,4.8
Al-Jouf,Rest_of_Year,Traditional House,28.9,64.1,4.7,13.8,35.7,90.9,9.1
Al-Jouf,Rest_of_Year,Floor in Traditional,28.9,64.1,4.7,13.8,35.7,95.6,4.4
Al-Jouf,Rest_of_Year,Apartment,28.9,64.1,4.7,13.8,35.7,95.6,4.4
