Region,Year,Month,Avg_Temperature
Central,2023,12,17.7
Central,2024,1,17.4
Central,2024,2,17.3
Central,2024,3,21.0
Central,2024,4,25.6
Central,2024,5,31.8
Central,2024,6,37.2
Central,2024,7,37.5
Central,2024,8,37.3
Central,2024,9,33.9
Central,2024,10,28.4
Central,2024,11,23.6
Central,2024,12,17.6
Central,2025,1,14.6
Central,2025,2,16.2
Central,2025,3,22.1
Central,2025,4,31.0
Central,2025,5,35.0
Central,2025,6,36.9
Central,2025,7,38.0
Central,2025,8,38.1
Central,2025,9,35.5
Central,2025,10,28.8
Central,2025,11,22.5
Central,2025,12,17.3
Central,2026,1,17.8
Eastern,2000,1,16.4
Eastern,2000,2,16.5
Eastern,2000,3,19.4
Eastern,2000,4,26.7
Eastern,2000,5,30.9
Eastern,2000,6,32.6
Eastern,2000,7,34.3
Eastern,2000,8,34.9
Eastern,2000,9,31.5
Eastern,2000,10,28.7
Eastern,2000,11,21.7
Eastern,2000,12,18.3
Eastern,2001,1,15.0
Eastern,2001,2,16.8
Eastern,2001,3,21.1
Eastern,2001,4,26.0
Eastern,2001,5,30.8
Eastern,2001,6,32.7
Eastern,2001,7,34.4
Eastern,2001,8,34.5
Eastern,2001,9,32.2
Eastern,2001,10,29.1
Eastern,2001,11,23.1
Eastern,2001,12,21.3
Eastern,2002,1,15.9
Eastern,2002,2,17.6
Eastern,2002,3,21.5
Eastern,2002,4,25.1
Eastern,2002,5,30.8
Eastern,2002,6,33.0
Eastern,2002,7,35.2
Eastern,2002,8,34.3
Eastern,2002,9,31.9
Eastern,2002,10,29.2
Eastern,2002,11,22.9
Eastern,2002,12,18.6
Eastern,2003,1,15.9
Eastern,2003,2,18.2
Eastern,2003,3,20.3
Eastern,2003,4,25.5
Eastern,2003,5,29.9
Eastern,2003,6,33.7
Eastern,2003,7,34.6
Eastern,2003,8,34.4
Eastern,2003,9,31.3
Eastern,2003,10,29.2
Eastern,2003,11,23.0
Eastern,2003,12,18.3
Eastern,2004,1,18.2
Eastern,2004,2,18.2
Eastern,2004,3,21.6
Eastern,2004,4,24.7
Eastern,2004,5,30.3
Eastern,2004,6,33.1
Eastern,2004,7,34.5
Eastern,2004,8,34.5
Eastern,2004,9,31.1
Eastern,2004,10,29.0
Eastern,2004,11,25.1
Eastern,2004,12,16.4
Eastern,2005,1,15.1
Eastern,2005,2,16.4
Eastern,2005,3,20.7
Eastern,2005,4,25.0
Eastern,2005,5,29.5
Eastern,2005,6,33.6
Eastern,2005,7,34.1
Eastern,2005,8,34.6
Eastern,2005,9,32.0
Eastern,2005,10,28.2
Eastern,2005,11,23.5
Eastern,2005,12,19.5
Eastern,2006,1,17.0
Eastern,2006,2,18.2
Eastern,2006,3,21.4
Eastern,2006,4,25.4
Eastern,2006,5,31.6
Eastern,2006,6,33.4
Eastern,2006,7,35.1
Eastern,2006,8,34.0
Eastern,2006,9,31.7
Eastern,2006,10,29.8
Eastern,2006,11,23.4
Eastern,2006,12,14.5
Eastern,2007,1,14.5
Eastern,2007,2,17.4
Eastern,2007,3,20.7
Eastern,2007,4,25.9
Eastern,2007,5,30.7
Eastern,2007,6,33.6
Eastern,2007,7,34.7
Eastern,2007,8,34.7
Eastern,2007,9,32.6
Eastern,2007,10,29.1
Eastern,2007,11,24.0
Eastern,2007,12,18.8
Eastern,2008,1,14.3
Eastern,2008,2,16.2
Eastern,2008,3,22.3
Eastern,2008,4,25.6
Eastern,2008,5,30.6
Eastern,2008,6,33.6
Eastern,2008,7,34.7
Eastern,2008,8,34.3
Eastern,2008,9,32.9
Eastern,2008,10,28.5
Eastern,2008,11,22.6
Eastern,2008,12,17.0
Eastern,2009,1,14.8
Eastern,2009,2,18.5
Eastern,2009,3,20.0
Eastern,2009,4,24.7
Eastern,2009,5,30.9
Eastern,2009,6,33.5
